Bag;DayPostInnoculum;NeukHighSSC (cells/mL);NeuksLowSSC (cells/mL);Peuks (cells/mL);Syn (cells/mL);Het. Bacteria (cells/mL);EhV;MPV;MOI;Ciliates (cells/mL);Thraustochytrids ddPCR;% infected Ehux;Nitrate (umolN/L);Chlorophyll (ug/L);DMS (pmol/mL);DMS std;DMSPd;DMSPt;DMSPt std;DMSPp;DMSPd std;PON (nmol/mL);
4;4.5;103;9207;102128;5849;;;;0;;;;;;;;;;;;;;
4;5;146;8153;111345;4613;;53;;0;;;;4.005;6.48;6.16;0.01;7.52;157.12;0.56;149.60;0.56;3.78;
4;6;114;8796;96268;6351;1718785;;1426731;11308;28.29;;;3.101;6.73;10.55;0.30;11.77;186.21;2.39;174.43;2.39;3.95;
4;6.5;350;9538;97808;5745;1363996;;1351671;2648;;;;;;;;;;;;;;
4;7;602;10325;91910;4081;1420087;100;1496541;1727;62.06;;;2.546;8.79;13.86;0.33;22.08;235.07;1.71;212.99;1.71;5.26;
4;7.5;295;4415;83686;13294;1725704;;2288717;4343;;;;;;;;;;;;;;
4;8;485;6172;105410;4777;1890719;48;2447675;2910;67.43;1633.33;;1.865;9.8;23.02;0.23;25.74;311.24;2.55;285.51;2.55;4.96;
4;8.5;1174;5961;108064;7696;2676768;;255784;1086;;;;;;;;;;;;;;
4;9;1469;10507;102514;7383;4659097;20;9263735;2405;91.14;;;0.372;10.37;23.78;0.09;24.68;460.66;6.49;435.98;6.49;5.84;
4;9.5;2130;7749;94521;12462;;;;0;;;;;;;;;;;;;;
4;10;7555;10452;101989;11287;4026245;44;6032047;584;34.2;;;0.039;8.79;35.54;0.71;19.65;334.47;0.25;314.82;0.25;6.96;
4;10.5;6626;9132;72892;12896;7083246;;12631816;1594;;;;;;;;;;;;;;
4;11;9368;8161;81922;15557;9507314;117;16813124;1739;65.12;;1.06;0.052;7.04;44.64;1.55; ;292.54;15.83;277.25;15.83;5.84;
4;11.25;8163;12894;76722;14120;7550429;;13490323;1665;;;;;;;;;;;;;;
4;11.5;9495;7201;66761;12023;8002622;;12344999;1441;;;;;;;;;;;;;;
4;12;5642;6460;70348;10935;5067444;30;10850674;2167;71.23;;0.3;0.041;7.98;42.32;1.40;;275.91;4.12;275.91;4.12;6.67;
4;12.5;4313;6100;62216;7954;4839560;;15256367;3729;;;;;;;;;;;;;;
4;13;9507;9513;66354;6708;3791495;120;13065949;1306;133.13;;0.42;0.061;7.74;50.08;1.06;;74.55;8.93;74.55;8.93;5.32;
4;13.5;3060;7334;55843;5612;2231755;;10390857;3338;;;;;;;;;;;;;;
4;14;11483;11719;62502;5365;2305217;377;9697310;829;67.79;10340;0.59;0.212;9.93;37.08;1.74;13.15;237.39;26.55;224.24;26.55;6.02;
4;14.25;3463;6987;44338;5942;;;;0;;;;;;;;;;;;;;
4;14.5;3280;6330;50719;7246;2657324;;10817062;3285;;;;;;;;;;;;;;
4;15;14478;10311;58035;7584;953218;5230;2587885;173;58.53;;0.28;0.041;14.34;34.65;0.24;17.45;378.46;21.14;361.01;21.14;7.65;
4;15.5;15766;10228;70500;11101;2886472;;10728733;743;;;;;;;;;;;;;;
4;16;19734;10030;56654;11042;2901780;75300;10209211;548;69.68;15500;0.73;0.066;18.99;38.84;1.01;63.37;535.47;5.51;472.09;5.51;9.46;
4;16.5;35645;11149;42346;5878;2828502;;7680845;241;;;;;;;;;;;;;;
4;17;52084;9573;39173;15099;1935813;752000;4737433;136;54.45;;1.51;0.056;18.28;56.72;0.70;77.11;572.75;0.08;495.64;0.08;11.08;
4;17.5;65920;17662;27953;14466;3779080;;10077546;256;;;;;;;;;;;;;;
